-7.150697708129882812e-02,-2.200222015380859375e-02,6.537020206451416016e-03
-7.150697708129882812e-02,-2.200222015380859375e-02,6.537020206451416016e-03
-7.250714302062988281e-02,-2.300222218036651611e-02,7.537007331848144531e-03
-7.340955734252929688e-02,-2.381332218647003174e-02,8.518576622009277344e-03
-7.328343391418457031e-02,-2.470366656780242920e-02,9.508192539215087891e-03
-7.341957092285156250e-02,-2.536338567733764648e-02,9.563565254211425781e-03
-7.329154014587402344e-02,-2.540239691734313965e-02,1.004058122634887695e-02
-7.350039482116699219e-02,-2.517460286617279053e-02,1.069700717926025391e-02
-7.354807853698730469e-02,-2.505791187286376953e-02,1.135641336441040039e-02
-7.338476181030273438e-02,-2.506269514560699463e-02,1.181554794311523438e-02
-7.316470146179199219e-02,-2.492265403270721436e-02,1.226162910461425781e-02
-7.301473617553710938e-02,-2.492564916610717773e-02,1.270252466201782227e-02
-7.279610633850097656e-02,-2.509015798568725586e-02,1.325988769531250000e-02
-7.272601127624511719e-02,-2.537150681018829346e-02,1.379930973052978516e-02
-7.260823249816894531e-02,-2.556386590003967285e-02,1.432514190673828125e-02
-7.256507873535156250e-02,-2.585937082767486572e-02,1.467615365982055664e-02
-7.244467735290527344e-02,-2.601695060729980469e-02,1.508527994155883789e-02
-7.251238822937011719e-02,-2.595838904380798340e-02,1.568782329559326172e-02
-7.259106636047363281e-02,-2.597679197788238525e-02,1.630043983459472656e-02
-7.261300086975097656e-02,-2.610313892364501953e-02,1.692575216293334961e-02
